folio,carbono_arboles_tpha,date_distance,measurement_date,veg_type_id,veg_type,type_code,ecosystem,num_pixels,num_masked_pixels,elev_mean,slope_mean,vcf_mean,hh_mean,hv_mean,lsmask_mean,lsmask_min,lsmask_max,num_images
50545,51.4195800928749003,-162,2007-04-20,38,Bosque de encino,BF,Bosques,717.0000000000000000,717.0000000000000000,1478.6052998605300000,16.6987447698744770,32.9623430962343100,0.13512010398751623000,0.03198126057512916400,0.00000000000000000000,0,0,1
72457,101.0808430664352612,-525,2006-04-22,37,Bosque de pino-encino,CBF,Bosques,49.0000000000000000,49.0000000000000000,2591.6530612244896000,32.4081632653061200,54.8163265306122440,0.13223463991075050000,0.04205108700538906500,0.00000000000000000000,0,0,1
72386,1.1616004503025470,-752,2005-09-07,22,Selva alta perennifolia,THF,Selvas,116.5000000000000000,116.5000000000000000,177.2683178534571650,1.8609391124871002,33.8250036856848000,0.06350810549959570700,0.01268334076772705600,0.00000000000000000000,0,0,2
39059,7.6220917178729459,-1051,2004-11-12,37,Bosque de pino-encino,CBF,Bosques,389.0000000000000000,389.0000000000000000,2535.4935732647814000,9.0616966580976860,9.8868894601542420,0.10432669010860829000,0.01627909382506298000,0.00000000000000000000,0,0,1
77759,115.4144495833137890,922,2010-04-08,37,Bosque de pino-encino,CBF,Bosques,77.0000000000000000,77.0000000000000000,1819.0000000000000000,23.7402597402597400,69.2337662337662300,0.07741155206605856000,0.01948599215446879000,0.00000000000000000000,0,0,1
53324,46.4286777678752912,-591,2006-02-15,26,Selva mediana subperennifolia,THF,Selvas,125.0000000000000000,125.0000000000000000,15.7040000000000000,4.1360000000000000,77.1360000000000000,0.07998542432518953000,0.02627897919527637200,0.00000000000000000000,0,0,1
7509,22.5433164782588302,-830,2005-06-21,39,Bosque de encino-pino,CBF,Bosques,301.0000000000000000,301.0000000000000000,2056.0897009966780000,7.7840531561461800,15.0963455149501660,0.07139076375492362000,0.01851238245442947800,0.00000000000000000000,0,0,1
31409,22.2214700501899714,-575,2006-03-03,38,Bosque de encino,BF,Bosques,126.0000000000000000,126.0000000000000000,1602.2301587301588000,43.1984126984126960,37.3333333333333360,0.14286046305795605000,0.04496339193095092600,0.00000000000000000000,0,0,1
53089,42.3640380880904358,-599,2006-02-07,26,Selva mediana subperennifolia,THF,Selvas,84.0000000000000000,84.0000000000000000,25.4880952380952370,0.78571428571428570000,82.0000000000000000,0.09418141710238466000,0.02753580827446102200,0.00000000000000000000,0,0,1
26668,44.8403008896602405,-102,2007-06-19,37,Bosque de pino-encino,CBF,Bosques,69.0000000000000000,69.0000000000000000,1724.0144927536232000,20.3043478260869570,41.4492753623188400,0.24767446249414088000,0.05661652045824388400,0.00000000000000000000,0,0,1
41386,58.4634369967321794,-138,2007-05-14,38,Bosque de encino,BF,Bosques,338.0000000000000000,338.0000000000000000,1606.8668639053255000,37.6834319526627200,55.2603550295857960,0.13627274561136040000,0.04179364983363855000,0.00000000000000000000,0,0,1
72859,7.3842190221555107,2153,2013-08-21,38,Bosque de encino,BF,Bosques,41.0000000000000000,41.0000000000000000,1816.4634146341464000,53.0731707317073140,49.8780487804878000,0.05215431940828705500,0.01823980226491041600,0.00000000000000000000,0,0,1
12871,2.9948533545976203,-600,2006-02-06,27,Selva baja caducifolia,TDF,Selvas,173.0000000000000000,173.0000000000000000,1317.2080924855490000,38.3641618497109800,14.9075144508670510,0.07224023326209886000,0.02549147979358918500,0.00000000000000000000,0,0,1
57916,67.6773863689666495,-848,2005-06-03,26,Selva mediana subperennifolia,THF,Selvas,298.0000000000000000,298.0000000000000000,111.7382550335570500,3.5268456375838926,80.9194630872483200,0.07355195143162051000,0.02240200919180691800,0.00000000000000000000,0,0,1
74528,14.9447800240786779,-994,2005-01-08,38,Bosque de encino,BF,Bosques,311.0000000000000000,311.0000000000000000,774.6688102893891000,25.7202572347266880,42.4340836012861760,0.09448682903668619000,0.02472815484677092000,0.00000000000000000000,0,0,1
61221,1.2332931813562237,-305,2006-11-28,29,Selva baja subperennifolia,THF,Selvas,142.5000000000000000,142.5000000000000000,11.8903116826503920,0.81991063644289455000,40.1920226678291225,0.06401869695743726700,0.01986233494790758200,0.00000000000000000000,0,0,2
44976,14.7122436637115562,-69,2007-07-22,38,Bosque de encino,BF,Bosques,297.0000000000000000,297.0000000000000000,1336.0404040404040000,24.6060606060606060,15.8484848484848480,0.09945371261040574000,0.02481764564815602500,0.00000000000000000000,0,0,1
77350,4.6666153822099223,-460,2006-06-26,25,Selva mediana subcaducifolia,TDF,Selvas,96.0000000000000000,96.0000000000000000,426.0520833333333000,19.0729166666666680,43.2708333333333360,0.12387059428146978000,0.02538944423262999200,0.00000000000000000000,0,0,1
69109,3.6352095939459324,-674,2005-11-24,27,Selva baja caducifolia,TDF,Selvas,45.0000000000000000,45.0000000000000000,1436.3111111111111000,39.0444444444444440,30.8666666666666670,0.05663704190105767000,0.02158360531024682700,0.00000000000000000000,0,0,1
23240,24.8444882030113983,1213,2011-01-24,27,Selva baja caducifolia,TDF,Selvas,191.3333333333333333,191.3333333333333333,330.0494011589281667,9.5039541349868360,34.3091034915479400,0.08901540722516160333,0.02749674252889452567,0.00000000000000000000,0,0,3
62972,27.0552646934659224,-1034,2004-11-29,26,Selva mediana subperennifolia,THF,Selvas,152.5000000000000000,152.5000000000000000,178.8177361853832400,0.93905971479500890000,79.9193961675579250,0.08520782837446508500,0.02820575862937404800,0.00000000000000000000,0,0,2
37016,17.8090632143471395,646,2009-07-06,36,Bosque de pino,CF,Bosques,88.0000000000000000,88.0000000000000000,2490.3977272727275000,32.3295454545454500,15.7045454545454550,0.08690350498359134000,0.02917539225030225600,0.00000000000000000000,0,0,1
39675,3.6382225557796645,-1040,2004-11-23,36,Bosque de pino,CF,Bosques,98.0000000000000000,98.0000000000000000,2650.6020408163267000,3.5102040816326530,16.9795918367346950,0.05325547797896336400,0.01107386615696168700,0.00000000000000000000,0,0,1
65308,3.9432155979798927,-780,2005-08-10,26,Selva mediana subperennifolia,THF,Selvas,61.0000000000000000,61.0000000000000000,565.0819672131148000,5.1147540983606560,19.6229508196721300,0.05429035594146197000,0.01112215115087603400,0.00000000000000000000,0,0,1
